DART_CODE,KOSPI_CODE,KOSPI_NAME,DART_CODE,KOSDAK_CODE,KOSDAK_NAME
1412725,336260,두산퓨얼셀,1251595,293780,압타바이오
296290,39490,키움증권,204262,30520,한글과컴퓨터
111704,42660,대우조선해양,530185,102710,이엔에프테크놀로지
113410,120,CJ대한통운,378628,60720,KH바텍
120030,6360,GS건설,837477,95610,테스
124540,47040,대우건설,156895,27360,아주IB투자
160843,990,DB하이텍,104573,78130,국일제지
150244,80,하이트진로,292434,48530,인트론바이오
108241,4370,농심,1051339,256840,한국비엔씨
113058,88350,한화생명,456218,80160,모두투어
427483,69620,대웅제약,380429,58820,CMG제약
141529,7310,오뚜기,223434,36810,에프에스티
106623,11210,현대위아,330424,78020,이베스트투자증권
120076,1120,LX인터내셔널,693554,104480,티케이케미칼
105855,10120,엘에스일렉트릭,540447,86390,유니테스트
1267170,285130,SK케미칼,1311055,294570,쿠콘
157681,4000,롯데정밀화학,1203808,265520,AP시스템
159218,51600,한전KPS,1137310,23410,유진기업
1174773,5850,에스엘,216647,30530,원익홀딩스
129679,6280,녹십자,349732,52400,코나아이
117188,4800,효성,260879,42000,카페24
1316254,298050,효성첨단소재,522007,110790,크리스에프앤씨
117212,150,두산,1454235,88800,에이스테크
1524093,375500,DL이앤씨,867432,131370,알서포트
132637,14820,동원시스템즈,244561,35080,그래디언트
120571,5300,롯데칠성음료,653103,151910,SBW생명과학
428251,69960,현대백화점,488402,92190,서울바이오시스
109693,210,DL,,,
344287,42670,현대두산인프라코어,,,
795135,120110,코오롱인더,,,
1316227,298020,효성티앤씨,,,
521220,3090,대웅,,,
972503,271940,일진하이솔루스,,,
160047,240,한국앤컴퍼니,,,
1172270,93370,후성,,,
114792,1230,동국제강,,,
137359,19170,신풍제약,,,
520799,670,영풍,,,
164724,17800,현대엘리베이터,,,
131780,1740,SK네트웍스,,,
115977,10780,아이에스동서,,,
992871,185750,종근당,,,
557508,114090,GKL,,,
161693,9240,한샘,,,
293716,9900,명신산업,,,
117577,1800,오리온홀딩스,,,
234412,31430,신세계인터내셔날,,,
426086,69260,티케이지휴켐스,,,
481454,73240,금호타이어,,,
1010110,192080,더블유게임즈,,,
767460,178920,PI첨단소재,,,
406709,6040,동원산업,,,
138792,20560,아시아나항공,,,
115676,16380,KG스틸,,,
939331,161890,한국콜마,,,
260383,6650,대한유화,,,
269940,39130,하나투어,,,
1319808,300720,한일시멘트,,,
1508244,3240,태광산업,,,
108135,5250,녹십자홀딩스,,,
121941,1680,대상,,,
684714,103140,풍산,,,
231372,32350,롯데관광개발,,,
162586,9420,한올바이오파마,,,
123143,3850,보령,,,
1310269,294870,HDC현대산업개발,,,
105280,5440,현대그린푸드,,,
299321,284740,쿠쿠홈시스,,,
188089,20000,한섬,,,
728638,105630,한세실업,,,
1323032,381970,케이카,,,
1009789,192820,코스맥스,,,
133858,4490,세방전지,,,
1128613,241590,화승엔터프라이즈,,,
126937,70,삼양홀딩스,,,
412597,57050,현대홈쇼핑,,,
150633,13890,지누스,,,
