20221221
20221222
377740,바이오노트,NEW
20221223
20221226
001530,DI동일,NAME
007700,F&F홀딩스,NAME
003560,IHQ,NAME
009070,KCTC,NAME
010120,LS ELECTRIC,NAME
181710,NHN,NAME
004250,NPC,NAME
123700,SJM,NAME
025530,SJM홀딩스,NAME
084870,TBH글로벌,NAME
013580,계룡건설,NAME
011780,금호석유,NAME
005750,대림B&Co,NAME
005300,롯데칠성,NAME
003650,미창석유,NAME
000810,삼성화재,NAME
005680,삼영전자,NAME
003720,삼영화학,NAME
011230,삼화전자,NAME
001820,삼화콘덴서,NAME
000390,삼화페인트,NAME
017390,서울가스,NAME
004410,서울식품,NAME
035510,신세계 I&C,NAME
003410,쌍용C&E,NAME
003620,쌍용차,NAME
002790,아모레G,NAME
326030,SK바이오팜,NAME
900140,엘브이엠씨홀딩스,NAME
001200,유진투자증권,NAME
334890,이지스밸류리츠,NAME
002380,KCC,NAME
010640,진양폴리,NAME
344820,KCC글라스,NAME
030200,KT,NAME
053210,스카이라이프,NAME
033780,KT&G,NAME
069260,TKG휴켐스,NAME
019490,하이트론,NAME
025540,한국단자,NAME
004090,한국석유,NAME
002200,한국수출포장,NAME
033270,유나이티드제약,NAME
015760,한국전력,NAME
000970,한국주철관,NAME
010100,한국프랜지,NAME
010420,한솔PNS,NAME
011700,한신기계,NAME
017800,현대엘리베이,NAME
005380,현대차,NAME
006060,화승인더,NAME
094280,효성ITX,NAME
005870,휴니드,NAME
20221227
